City,State,Zip3,County
MELVILLE,NY,005,Nassau County
SAN JUAN,PR,009,San Juan Municipio
SPRINGFIELD,MA,011,Hampden County
SHREWSBURY,MA,015,Worcester County
NORTH READING,MA,018,Middlesex County
BOSTON,MA,022,Suffolk County
BROCKTON,MA,023,Plymouth County
WALTHAM,MA,024,Middlesex County
WAREHAM,MA,025,Plymouth County
PROVIDENCE,RI,029,Providence County
MANCHESTER,NH,031,Hillsborough County
PORTSMOUTH,NH,038,Rockingham County
SCARBOROUGH,ME,040,Cumberland County
HAMPDEN,ME,044,Penobscot County
WHITE RIVER JUNCTION,VT,050,Windsor County
ESSEX JUNCTION,VT,054,Chittenden County
HARTFORD,CT,061,Hartford County
WALLINGFORD,CT,064,New Haven County
WATERBURY,CT,067,New Haven County
STAMFORD,CT,069,Fairfield County
KEARNY,NJ,070,Hudson County
TETERBORO,NJ,076,Bergen County
EATONTOWN,NJ,077,Monmouth County
WHIPPANY,NJ,078,Morris County
BELLMAWR,NJ,080,Camden County
TRENTON,NJ,086,Mercer County
EDISON,NJ,088,Middlesex County
NEW YORK,NY,101,New York County
STATEN ISLAND,NY,103,Richmond County
BRONX,NY,104,Bronx County
WHITE PLAINS,NY,106,Westchester County
FLUSHING,NY,113,Queens County
BROOKLYN,NY,112,Kings County
GARDEN CITY,NY,115,Nassau County
MELVILLE,NY,117,Suffolk County
ALBANY,NY,122,Albany County
NEWBURGH,NY,125,Orange County
GLENS FALLS,NY,128,Warren County
PLATTSBURGH,NY,129,Clinton County
SYRACUSE,NY,132,Onondaga County
UTICA,NY,135,Oneida County
WATERTOWN,NY,136,Jefferson County
BINGHAMTON,NY,139,Broome County
BUFFALO,NY,142,Erie County
ROCHESTER,NY,146,Monroe County
JAMESTOWN,NY,147,Chautauqua County
ELMIRA,NY,149,Chemung County
PITTSBURGH,PA,152,Allegheny County
YOUNGWOOD,PA,156,Westmoreland County
DU BOIS,PA,158,Clearfield County
JOHNSTOWN,PA,159,Cambria County
NEW CASTLE,PA,161,Lawrence County
OIL CITY,PA,163,Venango County
ERIE,PA,165,Erie County
DUNCANSVILLE,PA,166,Blair County
BRADFORD,PA,167,McKean County
HARRISBURG,PA,171,Dauphin County
LANCASTER,PA,176,Lancaster County
WILLIAMSPORT,PA,177,Lycoming County
LEHIGH VALLEY,PA,180,Lehigh County
WILKES BARRE,PA,182,Luzerne County
SCRANTON,PA,185,Lackawanna County
SOUTHEASTERN,PA,193,Montgomery County
PHILADELPHIA,PA,191,Philadelphia County
READING,PA,196,Berks County
WILMINGTON,DE,197,New Castle County
WASHINGTON,DC,200,Washington County
WASHINGTON,DC,202,Washington County
DULLES,VA,201,Loudoun County
CAPITOL HEIGHTS,MD,207,Prince George's County
GAITHERSBURG,MD,208,Montgomery County
LINTHICUM HEIGHTS,MD,210,Anne Arundel County
BALTIMORE,MD,212,Baltimore County
CUMBERLAND,MD,215,Allegany County
EASTON,MD,216,Talbot County
FREDERICK,MD,217,Frederick County
MERRIFIELD,VA,220,Fairfax County
WINCHESTER,VA,226,Frederick County
CULPEPER,VA,227,Culpeper County
CHARLOTTESVILLE,VA,228,Albemarle County
SANDSTON,VA,231,Henrico County
NORFOLK,VA,235,Norfolk city
FARMVILLE,VA,239,Prince Edward County
ROANOKE,VA,240,Roanoke County
BRISTOL,VA,242,Washington County
LYNCHBURG,VA,245,Campbell County
BLUEFIELD,WV,247,Mercer County
LEWISBURG,WV,249,Greenbrier County
CHARLESTON,WV,253,Kanawha County
MARTINSBURG,WV,254,Berkeley County
HUNTINGTON,WV,255,Cabell County
BECKLEY,WV,258,Raleigh County
WHEELING,WV,260,Ohio County
PARKERSBURG,WV,261,Wood County
CLARKSBURG,WV,263,Harrison County
GASSAWAY,WV,266,Braxton County
PETERSBURG,WV,268,Grant County
GREENSBORO,NC,274,Guilford County
RALEIGH,NC,276,Wake County
ROCKY MOUNT,NC,278,Nash County
CHARLOTTE,NC,282,Mecklenburg County
FAYETTEVILLE,NC,283,Cumberland County
KINSTON,NC,285,Lenoir County
HICKORY,NC,286,Catawba County
ASHEVILLE,NC,288,Buncombe County
WEST COLUMBIA,SC,291,Lexington County
NORTH CHARLESTON,SC,294,Charleston County
FLORENCE,SC,295,Florence County
GREENVILLE,SC,296,Greenville County
DULUTH,GA,300,Gwinnett County
ATLANTA,GA,303,Fulton County
SWAINSBORO,GA,304,Emanuel County
ATHENS,GA,306,Clarke County
AUGUSTA,GA,309,Richmond County
MACON,GA,312,Bibb County
SAVANNAH,GA,314,Chatham County
WAYCROSS,GA,315,Ware County
VALDOSTA,GA,316,Lowndes County
ALBANY,GA,317,Dougherty County
COLUMBUS,GA,319,Muscogee County
JACKSONVILLE,FL,322,Duval County
