,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
0,Autauga County,3.8     ,3.3     ,3.3,5.1,9.7,8.9,8.3,7.0,6.3,5.9,AL
1,Baldwin County,4.0     ,3.2     ,3.1,4.6,9.8,10.0,9.0,7.5,6.7,6.1,AL
2,Barbour County,5.8     ,5.7     ,6.3,8.8,14.3,12.3,11.6,11.6,10.4,10.8,AL
3,Bibb County,4.5     ,4.2     ,4.1,5.8,13.3,11.4,10.5,8.5,7.8,7.1,AL
4,Blount County,3.6     ,3.2     ,3.2,4.7,10.0,9.8,8.7,6.9,6.3,6.1,AL
5,Bullock County,9.5     ,8.9     ,9.4,10.5,15.6,11.8,11.8,10.6,9.6,9.1,AL
6,Butler County,6.5     ,5.7     ,6.2,8.5,16.4,13.6,12.5,11.6,10.4,8.6,AL
7,Calhoun County,4.5     ,4.1     ,3.9,5.7,11.1,11.4,10.4,8.8,8.6,7.9,AL
8,Chambers County,5.7     ,5.8     ,6.5,14.4,19.6,14.9,12.1,9.9,8.0,6.7,AL
9,Cherokee County,4.4     ,4.2     ,4.2,5.7,11.7,10.6,9.7,8.0,6.6,5.9,AL
10,Chilton County,3.9     ,3.6     ,3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,AL
11,Choctaw County,6.6     ,5.6     ,5.9,8.3,13.5,13.3,13.2,10.4,9.2,9.1,AL
12,Clarke County,6.4     ,6.2     ,6.1,9.0,16.5,19.9,19.0,15.2,14.0,12.5,AL
13,Clay County,5.0     ,4.5     ,5.5,7.9,16.7,14.5,11.9,9.5,8.4,7.2,AL
14,Cleburne County,3.9     ,3.5     ,3.7,5.1,10.2,10.0,9.7,8.2,7.7,6.7,AL
15,Coffee County,3.9     ,3.7     ,3.8,4.8,8.5,8.6,8.2,7.1,7.0,6.7,AL
16,Colbert County,5.4     ,4.7     ,4.6,6.5,11.6,11.5,10.2,8.7,8.1,8.2,AL
17,Conecuh County,6.2     ,5.7     ,6.4,9.4,19.9,17.2,15.4,12.1,10.9,10.7,AL
18,Coosa County,5.0     ,5.6     ,5.8,8.3,16.0,15.4,12.6,9.3,9.0,8.8,AL
19,Covington County,4.5     ,3.9     ,3.9,5.9,10.8,10.3,9.8,8.3,8.1,7.8,AL
20,Crenshaw County,4.9     ,4.0     ,4.3,5.6,10.4,10.2,9.8,8.2,7.5,7.0,AL
21,Cullman County,4.0     ,3.4     ,3.4,4.9,10.3,10.4,9.5,7.6,6.6,6.1,AL
22,Dale County,4.5     ,4.7     ,4.0,5.4,9.6,8.8,8.4,7.5,7.5,7.2,AL
23,Dallas County,8.6     ,8.2     ,8.3,11.1,21.1,16.9,15.3,13.1,12.4,11.6,AL
24,DeKalb County,5.1     ,4.2     ,4.3,5.8,14.3,12.7,11.9,9.1,7.6,6.9,AL
25,Elmore County,3.7     ,3.4     ,3.3,5.1,9.5,9.1,8.4,7.0,6.2,5.8,AL
26,Escambia County,5.6     ,5.0     ,5.3,7.6,13.5,11.8,10.9,9.3,8.6,8.2,AL
27,Etowah County,4.7     ,4.2     ,4.5,6.0,11.5,10.9,10.0,8.2,7.5,7.0,AL
28,Fayette County,4.5     ,4.2     ,4.7,7.2,14.0,13.0,11.2,8.6,8.3,7.9,AL
29,Franklin County,5.3     ,4.6     ,4.6,7.4,13.4,10.7,9.6,8.4,8.1,7.8,AL
30,Geneva County,3.9     ,3.8     ,3.5,5.5,10.8,10.4,9.2,7.6,7.0,6.7,AL
31,Greene County,6.7     ,5.6     ,6.4,8.5,15.3,17.3,17.4,13.7,13.0,12.6,AL
32,Hale County,5.4     ,5.3     ,5.4,7.4,14.3,15.1,13.9,11.6,11.7,9.8,AL
33,Henry County,4.3     ,4.0     ,5.4,7.7,11.2,10.9,9.7,8.2,7.7,7.4,AL
34,Houston County,3.8     ,3.4     ,3.3,4.9,9.3,9.1,8.7,7.6,7.0,6.8,AL
35,Jackson County,5.0     ,4.5     ,4.5,6.2,12.8,11.8,10.3,8.5,7.7,7.2,AL
36,Jefferson County,4.4     ,4.0     ,3.9,5.4,10.8,10.3,9.3,7.4,6.7,6.3,AL
37,Lamar County,5.6     ,5.2     ,6.3,8.0,16.0,13.2,9.8,7.6,7.1,7.1,AL
38,Lauderdale County,5.1     ,4.2     ,4.3,5.7,10.7,10.1,9.1,7.7,7.1,7.2,AL
39,Lawrence County,5.6     ,4.8     ,4.1,6.5,13.6,12.6,11.0,9.0,8.3,8.2,AL
40,Lee County,3.7     ,3.4     ,3.6,5.2,9.4,9.0,8.1,6.9,6.0,5.6,AL
41,Limestone County,4.4     ,3.7     ,3.3,4.7,9.8,9.6,8.6,6.9,6.3,6.1,AL
42,Lowndes County,8.0     ,7.6     ,7.5,10.9,19.3,18.5,17.8,15.6,14.3,12.9,AL
43,Macon County,5.9     ,5.3     ,5.4,7.4,12.2,14.8,14.1,10.8,9.7,9.1,AL
44,Madison County,3.6     ,3.3     ,3.1,4.2,8.0,8.3,8.3,7.0,6.4,6.2,AL
45,Marengo County,5.7     ,4.6     ,5.3,7.4,14.2,13.7,12.6,10.2,8.9,8.0,AL
46,Marion County,4.5     ,4.4     ,5.2,8.0,16.6,13.6,11.3,9.0,8.0,8.1,AL
47,Marshall County,3.9     ,3.5     ,3.4,4.7,10.2,9.6,9.4,7.8,6.8,6.7,AL
48,Mobile County,5.0     ,4.2     ,4.0,5.7,11.3,11.3,10.8,9.1,8.4,7.7,AL
49,Monroe County,6.2     ,6.0     ,6.4,10.2,19.5,18.1,15.8,12.7,12.1,11.3,AL
